review_id,user_id,business_id,stars,date,text,useful,funny,cool
f5pGCpvkpRpJixZ0zA3hCg,8p2nss7UoZmIVZTr1IjR3w,caWUE0ItqsG51OaBVlr4Eg,2,2016-11-13,"We went here three more times for lunch and twice more for dinner, but I think that it's time to give up on this place.  They are running a 20% off sale on their already very low priced buffet; what they should do is raise prices and improve their food quality and food handling.

Sushi means cooked vinegared rice, but the rice that they use in theirs has no flavor at all and just falls apart as soon as you touch it.  When they bring out a new pan of food they dump the contents of the old tray on top of it so there is no way of telling how old some of the pieces are.",0,0,0
8lPKsNFBiLmVL5nbsUXaZw,O3pSxv1SyHpY4qi4Q16KzA,dc3uoAmNo5STqKV6mlD_aA,1,2017-05-30,"My husband and I went to the Drake for lunch today and sat on the patio.  We live in the area and surprisingly had never eaten there.

There were lots of servers buzzing around and there weren't that many people to serve but it took a while for server to take our drink order (two pops).  We waited about 20 minutes and STILL hadn't gotten our drinks so we got up and left and went to the Gladstone instead.",2,1,1
CANhCLzOoZ0mkL3mpnUSNg,ffC9zmbY4pBOS9ByrWoXxQ,sR9hPrIaG-J-GLcl4yaiLw,1,2017-11-19,"Very Problematic
I'm gay, I'm not ashamed to say it, but I felt ashamed of it inside the Valley Bar. We got sidewards glances from the staff nonstop, I was referred to as ""boy"" (b\/c I'm black, godforbid) & I was double charged, probably as a passive-aggressive FU. If you're looking for a place of tolerance & inclusion, DON'T COME TO THE VALLEY BAR! As a gay black man I have never felt more unwelcome, & I advise you to avoid this place too if you're looking for a place to chill.",0,0,0
bZ02moAXlosgWPM3pXSHWw,zE49S2Em3l7vgIlvFzZFOw,NF6di6YcQxN0rDAleE7SyQ,3,2014-12-30,"Today was the first time I sat down a table. I like how there was no wait when I went (~9:30pm). However, the line did start building up around 11pm, but soon died down afterwards. 

I ordered the ginseng oolong milk tea while my partner ordered the black sugar milk tea with egg pudding. I was a bit disappointed with both our orders. My oolong tea was rich, but that's all I tasted. I have had ginseng tea before, so I expected some aroma or a tiniest bit of ginseng to the drink. Unfortunately, I didn't receive any. One thing I did really appreciate was the fact that they put my sugar on the side. I was able to control how sweet I wanted my tea - as opposed to having sugar overdose. 

My partners black sugar milk tea with pudding was a special on the menu. It was actually very very sweet. But when you have it with the pudding, the sweetness is toned down. It was a little too sweet for me and him, so we decided to mix our drinks in our tea cups. It was an excellent idea, because my tea was not as sweet, so putting them together was the perfect combination. Otherwise, we didn't taste anything special with his drink. 

The one thing I really love about tenren (at least at this location), is the decor. It's very beautiful and gives a twist to the traditional asian decor set in tea shops. I also love how all the hot teas came in tea pots and cup set. They also have a semi-store inside the shop where you can purchase tea leaves, tea sets, and other products. Very cute. As for customer service, they were very prompt to taking our requests. However, I agree with other comments in terms of the cost. It is set pretty high. I would probably return, but not too often.",0,0,0
TmIla5Eh5SSLJ_bKgH4Syg,xde2rO3XVt0Do8kLRIt2Dw,Wc9UpJhOcdSj7olZkz7SJA,2,2013-02-19,"I ordered chicken tacos with no cheese to go.  I got to my office and opened a bag of tacos smothered in cheese.  I tried to call, but this place doesn't even have a phone number.  I'm sure the food is good, there is an obvious disconnect from the cashier to the kitchen. Good take-out begins with getting the order correct.",4,1,0
Hbn8Wn1ryc_SloxZ7jRGWA,st8UrI7Qkwi3nvHH0zpqUg,sFg3G8-oMGeiHYsVqKN7PQ,2,2017-06-27,"Granted it's a possibility that this restaurant is a mom and pop type of place but they seriously lack in speed of service. Stopped in here for a bite to eat while killing time before an appointment. Walked in and was not even acknowledged. We sat ourselves down and it took about 15 to 20 mins before the server came to ask what we would like to drink. There was a table with four guests that walked in way after we did and had their order taken before we did. It took almost another 20 mins to get our order and once it arrived there was a few things wrong. I ordered the sampler platter which came with onion rings, mozzarella sticks, chicken tenders, and potato bites; my father inlaw ordered the 2 egg breakfast plate which came with hash browns and toast. My onion rings were over cooked, the chicken tenders were over cooked to a point and the mozzarella sticks were slightly over cooked as well. I also ordered a Dr Pepper to drink. My father inlaw ordered a peach tea that tasted more like regular tea with a lemon wedge. His hash browns were under cooked but the eggs came out cooked to my specification. They weren't even busy and they had only two server's that were taking orders. Some lady in a pink shirt was probably a manager but not for sure. I will not recommend this restaurant unless you are willing to wait about an hour for your food. Also my father inlaw had to use the restroom before we left and he told me that the stall was smaller then he can get into with his walker. He is handicapped and had a hard time getting in the stall. My complaint isn't merely about the server's is more towards the restaurant it self. We had to come up from Prescott Valley and where we had to be this place was close by. So I hope someone will do something about there speed of service and customer service could use and upgrade. Thanx",0,0,0
zNXXGTnGOo9pKCN5JyKaPw,YT4FKLW7YiHDdlXZpqjMHg,y3bMutme81x4PUhb0zaC_A,3,2013-05-27,"Went to lunch Sunday of Memorial Day weekend. The music was too loud and all the booth tables were occupied or dirty. I'm sure the workers would have rather been else where. However, they still have the best Boston Clam Chowder and the featured sandwich of the month ""Club West"" was really tasty.",0,1,0
Ez-8sHPrQdnyv5YZW26V4w,9Xmw_WcUCShPD0qGO1UD7w,77N3luh2YzfJFJGFIfqqbw,5,2017-04-04,"Beer baby!! Always love the selection Duke's offers. Food has never been an issue.  Pinkerton sandwich is my go to. Fish on lental Fridays is good, calzones are monsterous and delicious, steak sandwich is tasty, cowher club brought me to my knees.  Service is always solid and on point as expected. Friendly faces and plenty of good conversation with the staff whenever I visit. Late afternoon during weekdays is typically busy due to after work crowd.  Weekends get packed. Late during the weekdays are usually a good time to visit if you want a little more intimate experience.",0,0,0
-stycTPcOZuomCIvx3Cntw,TzuvXu6cDr8Qdryt323NOQ,o5UD16isMFPnRxajNQUYsw,2,2017-06-02,"Don't buy any of the oil pens\/wax they are garbage. Bought one for a vacation trip on the 26th of April and now it is broken. I didn't drop it I barely used it while I was away. I went in the shop and asked if they had any replacement parts and of course they don't sell accessories to pens which is kind of a joke. Was told I had to contact my the pen company to see if there was even a warranty for it. Definitely not your ""go to"" smoke shop only good for lighters and butane.  glass is way overpriced also.",0,0,0
iLJtdnLX7b8jl-S7mnSW6A,fs6yFn_sa7bTaS2aDad0Qg,N0apJkxIem2E8irTBRKnHw,3,2011-05-20,"The food was great. The ""Caesar"" salad with Bibb Lettuce was an excellent concept perfectly executed.  The Gnocchi was so good it made up for the gluey mess I had at an Italian restaurant in Miami a couple of weeks ago. BUT... even though this is reasonable fair by Casino standards it is still too expensive for the indifferent service we received. Drinks took forever... I was halfway through my salad. The waiter managed to ignore us even though we were seated right next his computer station!",0,0,0
DGVxDULWosyl4XH4auIgQw,mOVyk3O18VY5nrUMTZgM1w,HnGtPQ_jNQTnaIUmYEhX0g,2,2014-04-29,"#FUTURESHOP #HEARTLAND #SAUGA #MISSISSAUGA #TECH

On a busy day, the floor employees will stick to you like a tick, especially if you're buying big, in hopes of making commission. On a not so busy day, and say your product is less than $100, you'll be lucky to find help. My Dad was looking to pick-up either of the following - a Roku, a Google Chromecast or an Apple TV. 

Employee 1: Obviously the in-house Apple guy. Did a quick sell for the Apple product (doesn't need much selling, really). Refused to comment about any other product in the store. Moved way too much when he spoke. Nicer than the next employee for sure. 

Employee 2: Pot bellied, lazy guy who was more interested in chewing his gum than helping someone out. Barely answered my Dad's questions, chewed on his gum as his responses to most. Lazily picked up the Roku products and shrugged after reading the details - couldn't really explain how one was different from the other. When we asked about the Google Chromecast, he said ""Best Product!"".. but the product wasn't even in store yet. Way to go, Salesman! 

We left without buying anything. Went to the Best Buy right across the street and found some help with the products. 

Note: My Dad and I are tech savvy and don't bother floor employees with stupid, silly questions about the products. What we were primarily concerned about was hooking up these products with our Projector-Screen theater.",2,0,0
wybLZgnqmYcY1OWCbKDRpA,rcfKA8hblCsHPTVhK78Z_Q,_lywz7Hllngj466MZpNDkg,3,2015-03-11,We ordered fish and chips: got tons of food for how much it was and fish & chips were crispy as we liked! We were happy with our food as well as with the service received from our waiter.,0,0,0
Pqp8uryZiWBoE_oRO5cp_Q,K5-bh_OVK1_FVclv9s7a_A,uBNoyDrAr-6L5rxhU1iF9g,1,2016-09-25,Cancelled service in May due to cost. I owed them $42. Paid said $42 and was told I didn't owe anything. Now I'm getting letters from collection agencies. Called them and they say I owe money. Get it straight people. Service is expensive and they don't do the inside of your house,2,0,0
QsDBb9z3tPjzFt8JeW-5iA,D_Wp2rzmeQ8Bj5S4Wx-z1A,rOKEgdzmhzT99Ob_OmPE0Q,3,2017-06-26,"Zipps is close to my house - so naturally it's my go-to during football season. The food is decent and the servers are attentive. I always get the buffalo wings. Not the best I've had, but pretty good as far as a sports bar is concerned.

As regulars during the football season, we typically try to get there early. They won't sit you at the big tables until your whole group is there. This can be frustrating when you're waiting for one person, but you have to be sitting in a corner with a bad view of your game.

Overall, Zipps is what you expect from a sports bar.",0,0,0
mIVa9xwkaYyEeXqIBM6Z-g,3aBGR6pyzQM_646ZITODrA,OThAF-lt6d7jY-pB1ajWPg,4,2012-10-19,"First off I need to tell you this place is very small inside.  Maybe eight tables. While I was there they were doing a ton of carry-out business thru a dedicated counter.  The food was very good. Great flavor, well prepared, and a outstanding value for the price. 
I had a excellent spicy blackened chicken pasta dish. Ralph had the spaghetti - he was delighted. 
I'm proud to be the first to review JoJo's",5,2,3
dDDKwDb7x__ogR_9QXvj6g,YctiU1XvjSvB8-S5IwL4tg,r0rtl4OsZy-F099jeO_DKA,2,2014-05-07,"It's been years since I last tried Paradise Bakery, so today I decided to give it a try again, which as it turns out was not a good idea.  When I arrived I noticed that they had a 2for? special so I thought I would give it a try.  The nice girl at one of the counters took my order for a Turkey Panini, and the line moved me along so I ordered a small soup.  The total around $9 for a half sandwich and soup, which is a bit high, though not horrible as long as there is some value.  Unfortunately I ordered for take out so I did not notice until I got back that the nearly $5 half sandwich was pathetic.  The sandwich consisted of  rubbery turnkey, cheese and panini sauce - I thought it would at least have lettuce or something (they never asked if I wanted anything on it).  Really disappointed that they did not even ask if I wanted anything on the sandwich since it would have at least improved the taste.  The turkey was not even as good as the Pepperidge Farms sliced turkey I buy in the store, it seemed to be similar to Subway's turkey.  The cookie was good however, and the soup was OK.  

There are much better places to get a good sandwich for a similar price (Dillys Deli, Jasons, even Wildflower). Needless to say I won't be going back to ""Paradise"".",0,0,0
VWUlJEyMRsXOFzPwOy8fjQ,HIbrGcTWXuxMLcqDQHIvPg,UNaXX99KnH69CBnUt6ZtAQ,2,2016-09-22,I've never had the greatest experience while visiting this subway but it's close and not terrible. My boyfriend loves the tuna sub but he always asks if it's fresh (prepared that day) and half the time they say no. This is not ok especially when it comes to tuna. I could happily pass and go elsewhere.,0,0,0
pxpnxk2OPiqrm7vCRiniTg,DbvIS10e5BRB7AFT5DAW4Q,TMEtXIh1PXsIryjTOmZWPQ,2,2017-08-04,"We came to this restaurant on 3 occasions. Food was decent and affordable. The restaurant needs renovations as it looks old. On the last occasion, the staff was mopping around us while we are eating. Cleaning around customers while eating seems to be unappetizing. Probably not dine-in but maybe take out should be fine.",0,0,0
twJyqEY3MnQek1WBeDnQjw,JlD8asiXfY1CoGy3VHFRlA,51w8nETUAMrTNQtuH9dZYw,3,2006-03-10,"Located inside the Law School at Case Western Reserve University, Schticks is a difficult place to review. 
First, you have to deal with the surly owner-manager.  Certainly not the most friendly person I have ever met, but I am not sure I can completely blame him.  He gets up at like 3am or something, (which  would certainly put me in a bad mood) each morning to come to the law school (another reason) to serve coffee, muffins, and wraps to bratty law students (yet another reason).

The muffins rock, the coffee is Seattle's Best, which is fine by me, although many people complain about this point (see bratty law students comment above).

The problem is when you get to the food.  The space is small and apparently the owner cannot have a grill or similar in this space due to fire codes.  This means that you are mostly left with PB&J or turkey and alfalfa sprout wraps.

The really sad thing is that there is hardly any other decent options in this area, so this place is about as good an option as any.  Blackacre (the name of the lounge area with tables to eat the food, haha) is really crowded come lunch time with aforementioned students.  Best to grab and go at that hour, if you can.",4,0,0
m47UORbJZNs-0IJ0T7cGxw,2sr6IVXA9KHmcclxQfVizw,XKo3y41cF6euqS7I6AX_1Q,4,2016-12-17,"Love this place.  Great food and good prices, especially the $3.99 special for the chicken teriyaki bowl.  Friendly, fast service...not much more you can ask for in a teriyaki chicken fast food restaurant.  Recommended.",0,0,0
wt9aCpqTyO8YjGnARwkg2g,Vqlbl1bdOyWpBrUWs7Xlig,YTyAiyMYjJrsLqf8ErsRzg,3,2017-10-30,"Normally, we order Italian subs from Rudy's which are awesome. Last time we went, we wanted to try some different subs. We got the cheeseburger sub, chicken parm, and a ham\/bacon\/chicken. all three weren't so great. They didn't compare to the Italians we normally order. The hamburger sub didn't have much flavor. The chicken parm sub was burnt. The ham\/bacon\/chicken was alright but some of the chicken was extra chewy. Highly recommend the Italian, other than those we weren't impressed.",0,0,0
ovuvae_TIB22gQP6hjjEDg,nQN0TqX5ojPwyMhohN0bqg,M1vpbYIBt_OvQpgprX61hQ,2,2013-03-14,"They got me in and out quick enough, however there were a number of things that left me uneasy:
-I have good reason to believe that they did not fill my car with synthetic oil, as I request and paid for.
-In replacing my bedpan, they did not replace all of the screws.
-Steering wheel was left greasy.
-Service was not so pleasant.
I will not be returning.",0,0,0
QvaAk2B7zLe-_P_Qxb5qkg,Fhmvs9iw0Jm3SlN0yBwWBQ,GrwvBAEALujIOPQeOfN1vA,5,2014-03-22,"Finally made it in time for Happy Hour! Got 3 'appetizers' for the 2 of us and could NOT finish!! A lot of really good food at very reasonable prices. Good variety on Happy Hour too. Drinks were good pours and could get house or premium. 
ALSO, it was mentioned to us by Vinnie that they now do reverse Happy Hour 8-10 PM 7 nights a week!",0,0,0
JW8BKdyQShQtlTAKEXoTyQ,xnkZoRn4fXpYT89WrvFUyA,TywR-VhheOAi0kGlKwclpg,2,2017-11-12,"Completely understaffed, overwhelmed and not very happy to be working here. Those are a few of my observations from visiting this Starbucks. The line is excessively long and there have been several occasions I've had to leave line without placing my order to make my flight. I've had to stop visiting this Starbucks when I'm at Hopkins.",0,0,0
k7C0n_QM1et_QHwu_JurzA,qUL3CdRRF1vedNvaq06rIA,ESa_7bd1x9sD-Nd_gH0Xrg,2,2013-09-14,"So, it had been a while since I had been, and remembered it being okay, so I thought I'd drive over and give it a hot. I ordered the tomato soup & turkey deluxe. The service, again, was very slow! The staff seemed pretty involved in their own conversations rather than working. So, I got home and my turkey deluxe, which should have been turkey, Swiss, lettuce, tomato & bacon...no bacon, ugh! In addition there was one piece of turkey. I will say the chips & salsa, I guess the automatic side, were good. Definitely disappointed with my return visit :-(.",1,0,0
ijqT8NJxF98gzkzF6Q8y_Q,Yp2p6n1V9pEfV7QUPDfXPg,0FUtlsQrJI7LhqDPxLumEw,4,2017-04-17,Good Food - Roomy outdoor picnic tables under a huge canopy of a trees.  Always busy with a line but it moves quickly and all the staff is very friendly.  Parking is a dirt lot to the East.  It is a great place to take the family or meet out of town guests that are looking for a unique and casual dining experience.,1,0,0
d43_AtPyGUzhxjvZwJyjjA,d-uzKbfoM8oISsJFPsw6EA,h5qBxa_L-pIdNSOBQxTNGQ,1,2014-08-05,"I will not be ordering from here again. 

The pizza was average at best. The toppings were bland and flavorless, the sampler plate was watery and tasteless and everything was overpriced. The driver also apparently doesn't read the notes either, since I requested that they not ring the doorbell because my friends baby was sleeping. They rang it twice and woke her up.

The only thing worth noting were the garlic bites which were really great, but not enough to make up for the bad price and the fact that the medium pizza was the size of an extra large at most other places. Otherwise, bad food and bad service. Keep away.",6,3,3
